year,month,name,cause,acres,county,longitude,latitude
1898,9,LOS PADRES,14 - Unknown,20539.94921875,Ventura,-119.3678298818286,34.44682971265355
1898,4,MATILIJA,14 - Unknown,2641.123046875,Ventura,-119.2996250808424,34.48861372034608
1898,9,COZY DELL,14 - Unknown,2974.585205078125,Ventura,-119.26538034343709,34.482315773004586
1902,8,FEROUD,14 - Unknown,731.4815673828125,Ventura,-119.32097892126518,34.417514825132955
1903,10,SAN ANTONIO,14 - Unknown,380.2605895996094,Ventura,-119.25342191187723,34.43061569116066
1908,7,REEVES,14 - Unknown,859.3488159179688,Ventura,-119.17995868645784,34.445871922059354
1908,9,LUFFENHOLZ,14 - Unknown,7433.90185546875,Humboldt,-124.08212020270376,41.00019738365556
1909,8,SHOEMAKER,14 - Unknown,450.5347290039063,Los Angeles,-117.68581580395409,34.344270965991534
1909,9,HORN CANYON,14 - Unknown,3174.5146484375,Ventura,-119.1585176479871,34.48261610909139
1910,8,CRAWFORD CREEK 2,7 - Arson,497.88507080078125,Humboldt,-123.55247056980947,41.30005212855447
1910,7,BLUFF CREEK,4 - Campfire,298.716552734375,Del Norte,-123.76036110909071,41.43039064249448
1910,7,GLASS MOUNTAIN,1 - Lightning,146967.5625,Siskiyou,-121.49447568995092,41.34524516911432
1910,9,ULLATHORNE 2,4 - Campfire,79.66117858886719,Humboldt,-123.57490531624329,41.30372990521792
1910,8,HAT MT.,9 - Miscellaneous,347.3707275390625,Lassen,-120.12749278893328,41.13101105052729
1910,7,SOUP,1 - Lightning,19.396240234375,Modoc,-120.28741930250605,41.306988359718815
1910,8,WILLOWRANCH,9 - Miscellaneous,21.08651351928711,Modoc,-120.32900004599144,41.84243415487389
1910,7,COYOTE CREEK,14 - Unknown,11226.82421875,Ventura,-119.386960102873,34.421248923874785
1910,8,BULL CREEK,4 - Campfire,56.897216796875,Humboldt,-123.62198806063569,41.1747658353502
1910,8,MILL CREEK,4 - Campfire,398.2931518554688,Humboldt,-123.71014680624636,41.16289968508533
1910,9,ULLATHORNE PEAK,14 - Unknown,159.32887268066406,Siskiyou,-123.43666759661407,41.26895133089562
1910,9,BEE LAKE,14 - Unknown,298.71905517578125,Del Norte,-123.72630392852673,41.286952931712214
1910,9,RED CAP,5 - Debris,497.8814392089844,Humboldt,-123.5575809985326,41.204450556953894
1910,9,MILL CREEK,14 - Unknown,597.4611206054688,Humboldt,-123.51337108479538,41.172101882268265
1910,8,HOPKINS CREEK,9 - Miscellaneous,497.8733215332031,Humboldt,-123.6328301243768,41.21518162017043
1911,7,ORCUTT FLAT,7 - Arson,94.59878540039062,Humboldt,-123.51517133202006,41.31905568905736
1911,7,PRIGMORE FLAT,7 - Arson,14.936650276184082,Humboldt,-123.52059408394787,41.28831043066411
1911,7,ULLATHORNE CREEK 2,14 - Unknown,69.70310974121094,Humboldt,-123.58798210795824,41.29587664024785
1911,7,ULLATHORNE 1,14 - Unknown,14.93657398223877,Humboldt,-123.56946916155023,41.26895098458967
1911,7,NONAME,9 - Miscellaneous,131.76152038574222,Siskiyou,-121.4763393683233,41.697321266910976
1911,8,ULLATHORNE CREEK,7 - Arson,9.95753574371338,Humboldt,-123.576445474181,41.289008058210456
1911,8,RED CAP CREEK,4 - Campfire,9.95789623260498,Humboldt,-123.50155420229174,41.23065513761638
1911,8,PEARCH CREEK,7 - Arson,398.3174133300781,Humboldt,-123.49532589530777,41.302627337146795
1911,8,CHEENITCH GULCH,14 - Unknown,11.949064254760742,Humboldt,-123.51629468882878,41.292518394919895
1911,7,WILDER CREEK,7 - Arson,15.93230438232422,Humboldt,-123.55259175456192,41.37888203503636
1911,7,BOISE CREEK,1 - Lightning,19.91621208190918,Humboldt,-123.49518377405865,41.27739715054247
1911,8,BLUFF CREEK,7 - Arson,1372.6959228515625,Humboldt,-123.70792823905569,41.278254991580866
1912,2,GRAND AVENUE,14 - Unknown,197.03648376464844,Ventura,-119.24104368100966,34.46071549417657
1913,10,RINCON CREEK,14 - Unknown,1759.6904296875,Ventura,-119.44138050248816,34.42217210638992
1914,9,JUNIPER SP.,1 - Lightning,12.507941246032715,Modoc,-120.75853629879013,41.94039941567645
